,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
21,0.0459144,20.7633,12.802,93.3934,31.7095,1.35493,1.3563,,30.0,15.0
22,14.569,20.9592,19.628,86.722,8.78105,1.26103,1.26135,,30.0,15.0
23,3.65196,28.5114,12.9101,12.7192,15.473,2.11364,2.11567,,30.0,15.0
24,12.4104,25.7475,16.6887,5.20435,14.9741,2.06915,2.06901,,30.0,15.0
25,6.18445,22.9187,18.5829,46.8142,24.2117,1.63989,1.63803,,30.0,15.0
26,0.561921,30.8207,12.8072,86.235,49.5575,2.65408,2.65585,,30.0,15.0
27,18.88,39.3772,17.0792,7.64736,49.8352,4.97703,4.97242,,30.0,15.0
28,7.49724,42.2164,20.3112,15.9405,7.33371,2.55247,2.55256,,30.0,15.0
29,3.58385,40.14,16.0798,48.1949,40.8625,3.82883,3.83049,,30.0,15.0
30,14.6795,31.9393,21.615,56.0081,9.60114,1.94648,1.94392,,30.0,15.0
31,2.75299,16.2996,18.9905,56.8213,20.4969,1.00066,1.0,,30.0,15.0
32,0.87532,31.1615,17.6981,81.904,4.60911,1.31654,1.31883,,30.0,15.0
33,4.48589,43.2016,13.7236,91.3257,29.3802,3.39162,3.39595,,30.0,15.0
34,3.84362,22.0095,16.5144,56.3741,22.8342,1.48791,1.48862,,30.0,15.0
35,7.50729,31.3655,13.6935,47.7032,36.7009,2.94864,2.95004,,30.0,15.0
36,10.6131,37.1993,12.4771,35.3252,20.3768,3.24386,3.24599,,30.0,15.0
37,3.24265,39.0203,12.0246,32.2993,8.49785,2.42395,2.42659,,30.0,15.0
38,12.8284,34.8708,12.1702,75.7917,11.1561,2.3045,2.30784,,30.0,15.0
39,9.69331,29.8417,15.7207,76.6738,37.2044,2.50937,2.51096,,30.0,15.0
40,1.24815,39.1908,19.6695,9.20404,9.13074,2.24836,2.25082,,30.0,15.0
41,17.3694,23.4759,16.3815,40.8733,28.1993,2.2073,2.20786,,30.0,15.0
42,3.95435,38.8775,21.9954,57.9333,7.12632,2.00982,2.00755,,30.0,15.0
43,17.2509,28.1716,14.8994,49.3066,21.8977,2.42878,2.42923,,30.0,15.0
44,8.64921,36.7837,20.0463,9.48131,46.0799,3.8282,3.82762,,30.0,15.0
45,2.48356,19.4578,19.0794,77.9718,25.5791,1.21001,1.21063,,30.0,15.0
46,13.3058,34.6806,19.5966,37.5568,44.4884,3.43227,3.43303,,30.0,15.0
